bodywork_type,brand,city,color,doors,fuel_type,kilometers,model,motor,price,state,transmission,year
Hatchback,Audi,Usaquén,,5,Gasolina,43000,A3,1.8,82000000,Bogotá D.C.,Mecánica,2016
Sedán,Ford,Bucaramanga,,4,Gasolina,52500,Fiesta,1.6,44500000,Santander,Mecánica,2016
Sedán,Kia,Usaquén,,4,Gasolina,100000,Rio,1.5,29000000,Bogotá D.C.,Mecánica,2016
Hatchback,Mercedes-Benz,Rafael Uribe Uribe,,5,Gasolina,39000,Clase A,1.6,71000000,Bogotá D.C.,Automática,2016
Sedán,Mercedes-Benz,Suba,,4,Gasolina,58000,Clase C,1.6,85000000,Bogotá D.C.,Automática,2016
Coupé,Chevrolet,Suba,,2,Gasolina,30000,Camaro,6.2,145000000,Bogotá D.C.,Automática,2016
Hatchback,Kia,Barranquilla,,5,Gasolina,60000,Picanto,1.0,35900000,Atlántico,Mecánica,2016
,Dodge,Cúcuta,,5,Gasolina,85087,Journey,,65000000,Norte De Santander,Automática,2016
Camioneta,Ford,Suba,,5,Gasolina,36000,Edge,3.5,95000000,Bogotá D.C.,Automática,2016
Sedán,Mazda,Envigado,Blanco,4,Gasolina,83000,3,2.0,69900000,Antioquia,Automática,2016
Hatchback,Chevrolet,Santa Marta (Distrito Turistico Cultural E Historico),,5,Gasolina,138000,Sonic,1.6,35000000,Magdalena,Mecánica,2016
,Renault,Tunja,,5,Gasolina,101,2016,,55000000,Boyaca,Mecánica,2016
Camioneta,Kia,Sincelejo,,5,Gasolina,91000,Sportage,2.0,73600000,Sucre,Mecánica,2016
,Chevrolet,Jamundí,,5,Diésel,104000,2016,,88500000,Valle Del Cauca,Mecánica,2016
Sedán,Nissan,Jamundí,,4,Gasolina,67000,Versa,1.6,41500000,Valle Del Cauca,Mecánica,2016
,Chevrolet,Pereira,,5,Gasolina,82000,Spark GT,,36000000,Risaralda,Mecánica,2016
,Renault,Engativa,,4,Gasolina,80400,Logan,,33000000,Bogotá D.C.,Mecánica,2016
Hatchback,Nissan,Rafael Uribe Uribe,,5,Gasolina,65000,March,1.6,35000000,Bogotá D.C.,Mecánica,2016
Hatchback,Mazda,Suba,,5,Gasolina,81000,3,2.0,70000000,Bogotá D.C.,Mecánica,2016
Sedán,Mazda,Kennedy,Gris,4,Gasolina,88000,3,2.0,56000000,Bogotá D.C.,Mecánica,2016
Camioneta,Toyota,Engativa,Blanco,5,Diésel,70000,Fortuner,3.0,141000000,Bogotá D.C.,Mecánica,2016
Hatchback,Mercedes-Benz,Manizales,,5,Gasolina,60000,Clase A,1.6,81000000,Caldas,Automática,2016
Pick-Up,Fiat,Fontibón,,2,Gasolina,101461,Strada,1.4,32500000,Bogotá D.C.,Mecánica,2016
Camioneta,Renault,Rafael Uribe Uribe,,5,Gasolina,61450,Duster,1.6,47000000,Bogotá D.C.,Mecánica,2016
Camioneta,Hyundai,Ibagué,Plateado,5,Gasolina,60000,TUCSON IX-35,2.0,68500000,Tolima,Mecánica,2016
Sedán,Chevrolet,Medellín,Gris,4,Gasolina,127500,Sail,1.4,31400000,Antioquia,Mecánica,2016
Camioneta,Renault,Suba,Rojo,5,Gasolina,60600,Duster,2.0,55500000,Bogotá D.C.,Mecánica,2016
Camioneta,Ford,Ibagué,,5,Gasolina,73000,Explorer,3.5,112000000,Tolima,Automática,2016
Hatchback,Renault,Puente Aranda,,5,Gasolina,80000,Clio,1.2,30000000,Bogotá D.C.,Mecánica,2016
Hatchback,Mercedes-Benz,Cali,Plateado,5,Gasolina,39500,Clase B,1.6,66000000,Valle Del Cauca,Automática,2016
,Chevrolet,Medellín,,5,Gasolina,43000,Tracker,,62900000,Antioquia,Automática,2016
,Ssangyong,Usaquén,Plateado,5,Gasolina,60000,Actyon,23000,56000000,Bogotá D.C.,Mecánica,2016
Camioneta,Renault,Itaguí,,5,Gasolina,90000,Duster,1.6,49990000,Antioquia,Mecánica,2016
Camioneta,Renault,Cali,Blanco,5,Gasolina,68000,Duster,1.6,47900000,Valle Del Cauca,Mecánica,2016
Sedán,Volkswagen,Engativa,,4,Gasolina,46000,Jetta,2.5,53000000,Bogotá D.C.,Mecánica,2016
Sedán,Renault,Usaquén,,4,Gasolina,62501,Logan,1.6,31000000,Bogotá D.C.,Mecánica,2016
Hatchback,Hyundai,Sabaneta,Azul,5,Gasolina,65000,Accent,1.6,43000000,Antioquia,Mecánica,2016
Sedán,Renault,Bello,,4,Gasolina,42700,Logan,1.6,30200000,Antioquia,Automática,2016
Camioneta,Mercedes-Benz,Neiva,Blanco,5,Gasolina,87000,Clase GLC,2.0,120000000,Huila,Automática,2016
Hatchback,Ford,Medellín,,5,Gasolina,38879,Fiesta,1.6,46000000,Antioquia,Mecánica,2016
,Chevrolet,Imués,,5,Gasolina,69700,Spark GT,,29000000,Nariño,Automática,2016
Hatchback,Hyundai,Quinchía,Gris,5,Gasolina,89000,Grand i10,1.2,32000000,Risaralda,Mecánica,2016
Hatchback,Renault,Chapinero,Negro,5,Gasolina,60000,Sandero,1.6,36600000,Bogotá D.C.,Mecánica,2016
Camioneta,Mitsubishi,Chapinero,,5,Gasolina,25301,Outlander,2.4,92000000,Bogotá D.C.,Mecánica,2016
Camioneta,Mazda,Suba,,5,Gasolina,68700,CX-5,2.0,81000000,Bogotá D.C.,Mecánica,2016
,Chevrolet,Kennedy,,5,Gasolina,91000,Sail ltz SPORT,,31500000,Bogotá D.C.,Mecánica,2016
Camioneta,Hyundai,Chapinero,,5,Gasolina,49426,Santa Fe,2.4,90000000,Bogotá D.C.,Mecánica,2016
Hatchback,SEAT,Kennedy,,5,Gasolina,57000,Leon,1.6,49500000,Bogotá D.C.,Mecánica,2016
Sedán,Mazda,Palmira,,4,Gasolina,60000,3,2.0,67000000,Valle Del Cauca,Mecánica,2016
Camioneta,Ford,Mosquera,,5,Gasolina,64000,Escape,2.0,80900000,Cundinamarca,Mecánica,2016
Camioneta,Ford,Cali,,5,Gasolina,63000,Escape,2.0,71680000,Valle Del Cauca,Mecánica,2016
Hatchback,Chevrolet,Usaquén,,5,Gasolina,59000,Spark,1.0,24500000,Bogotá D.C.,Mecánica,2016
Hatchback,Renault,Medellín,,5,Gasolina,130000,Clio,1.2,27200000,Antioquia,Mecánica,2016
,Ford,Ibagué,,5,Gasolina,133000,Ecosport,,52900000,Tolima,Automática,2016
Camioneta,Mitsubishi,Acacias,,5,Gasolina,65200,ASX,2.0,69000000,Meta,Mecánica,2016
Camioneta,Volvo,Suba,,5,Gasolina,50000,V60,2.5,78000000,Bogotá D.C.,Automática,2016
Sedán,Kia,Kennedy,,4,Gasolina,46500,CERATO PRO,1.6,54800000,Bogotá D.C.,Mecánica,2016
Sedán,Renault,Fontibón,Gris,4,Gasolina,86000,Logan,1.6,36500000,Bogotá D.C.,Mecánica,2016
Hatchback,Chevrolet,Cali,Blanco,5,Gasolina,66000,Sail,1.4,34000000,Valle Del Cauca,Mecánica,2016
Camioneta,Mazda,Tunja,Blanco,5,Gasolina,75000,CX-5,2.0,78000000,Boyaca,Mecánica,2016
Sedán,Mazda,Yopal,Rojo,4,Gasolina,25000,3,2.0,65000000,Casanare,Mecánica,2016
Sedán,Kia,Barrios Unidos,Azul,4,Gasolina,87000,Rio,1.4,46000000,Bogotá D.C.,Mecánica,2016
,Ford,Usaquén,,5,Gasolina,74000,Escape,,74000000,Bogotá D.C.,Automática,2016
Pick-Up,Nissan,Medellín,Blanco,4,Gasolina,77000,Frontier,2.4,58900000,Antioquia,Mecánica,2016
Camioneta,Renault,Barranquilla,,5,Gasolina,80180,Duster,2.0,48000000,Atlántico,Mecánica,2016
Station Wagon,Ford,Kennedy,Negro,4,Gasolina,80785,Ecosport,ford,55000000,Bogotá D.C.,Automática,2016
Camioneta,Kia,Chía,,5,Gasolina,61100,Sportage,2.0,75000000,Cundinamarca,Mecánica,2016
Sedán,Hyundai,Cajicá,,4,Gasolina,327000,Grand i10,1.2,82000000,Cundinamarca,Mecánica,2016
Hatchback,Chevrolet,Villavicencio,Plateado,5,Gasolina,67080,Spark,1.0,23000000,Meta,Mecánica,2016
Camioneta,Kia,Sopó,,5,Gasolina,60000,Sportage,2.0,76000000,Cundinamarca,Mecánica,2016
Hatchback,Renault,Pereira,,5,Gasolina,63800,Sandero,1.6,36000000,Risaralda,Mecánica,2016
,Chevrolet,Engativa,,4,Gasolina,65400,Sail,,36500000,Bogotá D.C.,Mecánica,2016
,Chevrolet,San Cristobal Sur,,5,Gasolina,72000,Spark GT,,32000000,Bogotá D.C.,Mecánica,2016
Sedán,Chevrolet,Pereira,,4,Gasolina,51000,Cruze,1.8,45000000,Risaralda,Mecánica,2016
Camioneta,Nissan,Cali,,5,Gasolina,100000,Qashqai,2.0,77000000,Valle Del Cauca,Mecánica,2016
Sedán,Mazda,Cajicá,,4,Gasolina,48000,6,2.5,76500000,Cundinamarca,Mecánica,2016
Coupé,BMW,Suba,Azul,5,Gasolina,45600,Serie 1,3.0,110000000,Bogotá D.C.,Automática,2016
Sedán,Chevrolet,Bosa,Plateado,4,Gasolina,56300,Sail,1.4,32000000,Bogotá D.C.,Mecánica,2016
Sedán,Mazda,Cali,,4,Gasolina,60000,3,2.0,63000000,Valle Del Cauca,Mecánica,2016
Sedán,Ford,Kennedy,Azul,4,Gasolina,74000,Fiesta,1.6,41500000,Bogotá D.C.,Mecánica,2016
Sedán,Renault,Floridablanca,,4,Gasolina,51300,Logan,1.6,33000000,Santander,Automática,2016
Sedán,Audi,Bucaramanga,Gris,4,Gasolina,10000,A6,1.8,83900000,Santander,Automática,2016
Camioneta,Renault,Fontibón,Gris,5,Gasolina,97743,Duster,2.0,53000000,Bogotá D.C.,Mecánica,2016
Camioneta,Chevrolet,Zipaquirá,Plateado,5,Gasolina,74000,Tracker,1.8,52000000,Cundinamarca,Automática,2016
Sedán,Nissan,Barrios Unidos,Azul,4,Gasolina,58000,Versa,1.6,42900000,Bogotá D.C.,Mecánica,2016
Monovolumen,Maxus,Mosquera,Blanco,6,Diésel,780,V80,2.5,80000000,Cundinamarca,Mecánica,2016
Camioneta,Suzuki,Villavicencio,Plateado,3,Gasolina,67000,Grand Vitara,2.4,69000000,Meta,Automática,2016
Pick-Up,Ford,Cali,Gris,2,Gasolina,85000,F-150,3.5,135000000,Valle Del Cauca,Automática,2016
Camioneta,Ssangyong,Cota,Rojo,5,Gasolina,72819,Actyon,2.3,55000000,Cundinamarca,Automática,2016
Hatchback,Mercedes-Benz,Cota,Rojo,5,Gasolina,49800,Clase A,1.6,74000000,Cundinamarca,Automática,2016
,Mercedes-Benz,Suba,Gris,4,Gasolina,82000,Clase C,1600,82900000,Bogotá D.C.,Automática,2016
,Jeep,Antonio Nariño,Rojo,3,Gasolina,49000,Wrangler,3600,138000000,Bogotá D.C.,Automática,2016
Sedán,Renault,San Cristobal Sur,Plateado,4,Gasolina,70000,Logan,1.6,33500000,Bogotá D.C.,Mecánica,2016
Hatchback,Renault,Cúcuta,,5,Gasolina,111000,Clio,1.2,27500000,Norte De Santander,Mecánica,2016
,Chevrolet,Cúcuta,,4,Gasolina,143000,Spark GT,,28000000,Norte De Santander,Mecánica,2016
SUV,Chevrolet,Teusaquillo,Plateado,5,Gasolina y gas,94000,Tracker,1850,45300000,Bogotá D.C.,Mecánica,2016
,Kia,Chaparral,Gris,4,Gasolina,102000,Sportage,,60000000,Tolima,Mecánica,2016
Camioneta,Mazda,Chapinero,Plateado,5,Gasolina,50000,CX-5,2.5,90000000,Bogotá D.C.,Automática,2016
Camioneta,Honda,Yopal,Negro,5,Gasolina,54000,HR-V,1.8,70000000,Casanare,Automática,2016
Coupé,BMW,Chapinero,,2,Gasolina,77000,Serie 4,2.0,110000000,Bogotá D.C.,Automática,2016
,Chevrolet,Rionegro,,4,Gasolina,85000,Spark GT,,31500000,Antioquia,Mecánica,2016
Sedán,Mazda,Floridablanca,Gris,5,Gasolina,70000,3,skyactive,62000000,Santander,Automática,2016
Hatchback,Mercedes-Benz,La Estrella,Blanco,5,Gasolina,45000,Clase A,2.0,89900000,Antioquia,Automática,2016
Furgón,Volkswagen,Málaga,Negro,2,Diésel,630000,Crafter,2.0,160000000,Santander,Mecánica,2016
Sedán,Ford,Engativa,Plateado,4,Gasolina,46000,Fiesta,1.6,42000000,Bogotá D.C.,Mecánica,2016
Hatchback,Renault,Kennedy,Gris,5,Gasolina,59000,Stepway,1.6,37800000,Bogotá D.C.,Mecánica,2016
,Chevrolet,Medellín,,4,Gasolina,80000,Spark GT,,32900000,Antioquia,Mecánica,2016
Sedán,Mercedes-Benz,Usaquén,Plateado,4,Gasolina,70000,Clase E,2.0,98000000,Bogotá D.C.,Automática,2016
Sedán,Renault,Usaquén,Gris,4,Gasolina,60500,Logan,1.6,37800000,Bogotá D.C.,Mecánica,2016
Hatchback,Volkswagen,Cali,Plateado,5,Gasolina,39000,Beetle,2.5,63000000,Valle Del Cauca,Mecánica,2016
Hatchback,Kia,Kennedy,Amarillo,4,Gasolina,278492,Otro,,95000000,Bogotá D.C.,Mecánica,2016
Hatchback,Renault,Suba,,5,Eléctrico,30200,Twizy,,28900000,Bogotá D.C.,Automática,2016
Hatchback,Suzuki,Medellín,Plateado,5,Gasolina,48000,Celerio,1.0,30000000,Antioquia,Mecánica,2016
Camioneta,Land Rover,Floridablanca,Gris,5,Gasolina,43400,Range Rover Sport,3.0,260000000,Santander,Automática,2016
Hatchback,Ford,Barranquilla,Blanco,5,Gasolina,71000,Fiesta,1.6,46500000,Atlántico,Automática,2016
Hatchback,Renault,Usaquén,Gris,5,Gasolina,59100,Sandero,1.6,37900000,Bogotá D.C.,Mecánica,2016
Camioneta,Jeep,Sincelejo,Blanco,5,Gasolina,51000,Cherokee,3.2,83000000,Sucre,Automática,2016
Camioneta,Hyundai,Ipiales,,5,Gasolina,58000,TUCSON IX-35,2.0,61800000,Nariño,Mecánica,2016
Camioneta,Mitsubishi,Pereira,Plateado,5,Gasolina,74300,Outlander,3.0,87000000,Risaralda,Mecánica,2016
Sedán,Renault,Suba,,4,Gasolina,60000,Logan,1.6,33000000,Bogotá D.C.,Mecánica,2016
Sedán,Mazda,Medellín,Gris,4,Gasolina,48500,3,2.0,68900000,Antioquia,Mecánica,2016
,Toyota,Barranquilla,,4,Gasolina,24000,Fortuner,,135000000,Atlántico,Automática,2016
Camioneta,Mercedes-Benz,Barranquilla,,5,Gasolina,29500,Clase GLA,1.6,92000000,Atlántico,Automática,2016
Hatchback,Renault,Envigado,,5,Gasolina,91600,Sandero,1.6,38000000,Antioquia,Mecánica,2016
Camioneta,Renault,Medellín,Negro,5,Gasolina,173905,Koleos,2.5,59900000,Antioquia,Automática,2016
Sedán,Kia,Engativa,,4,Gasolina,73600,CERATO PRO,1.6,55000000,Bogotá D.C.,Mecánica,2016
Sedán,Mazda,Usaquén,,4,Gasolina,54000,3,2.0,71000000,Bogotá D.C.,Mecánica,2016
Camioneta,Renault,Engativa,Gris,5,Gasolina,93800,Duster,2.0,52000000,Bogotá D.C.,Mecánica,2016
Sedán,Mazda,Usaquén,Marrón,4,Gasolina,62500,3,2.0,53750000,Bogotá D.C.,Mecánica,2016
Convertible,Mercedes-Benz,Usaquén,Gris,2,Gasolina,64000,Clase SLK,2L,116000000,Bogotá D.C.,Automática,2016
,,Barranquilla,,,,,,,90000000,Atlántico,,
,Kia,Cali,,5,Gasolina,95000,Sportage,,54000000,Valle Del Cauca,Mecánica,2016
,Renault Koleos Bosé,Barrios Unidos,,5,Gasolina,111000,Koleos 2016 4x4,,53500000,Bogotá D.C.,Automática,2016
Sedán,Hyundai,Envigado,Amarillo,4,Gasolina,221400,Grand i10,1200,90000000,Antioquia,Mecánica,2016
Sedán,Renault,Zipaquirá,,4,Gasolina,62000,Logan,1.6,33000000,Cundinamarca,Mecánica,2016
Camioneta,Toyota,Cúcuta,,5,Gasolina,16000,Fortuner,2.7,140000000,Norte De Santander,Mecánica,2016
Hatchback,Mercedes-Benz,Suba,Plateado,5,Gasolina,49000,Clase A,1.6,75900000,Bogotá D.C.,Automática,2016
Hatchback,Mazda,Medellín,,5,Gasolina,94000,3,2.0,57900000,Antioquia,Mecánica,2016
Camioneta,Toyota,Cali,,5,Diésel,90000,Prado,3.0,197000000,Valle Del Cauca,Mecánica,2016
Sedán,Volkswagen,Usaquén,,4,Gasolina,58000,Voyage,1.6,38500000,Bogotá D.C.,Mecánica,2016
,Chevrolet,Fontibón,,5,Gasolina,58000,Spark GT,,31600000,Bogotá D.C.,Mecánica,2016
Sedán,Chevrolet,Kennedy,Naranja,5,Gasolina,49600,Sail,1.4,31000000,Bogotá D.C.,Mecánica,2016
Sedán,Nissan,Tunja,,4,Gasolina,63000,Versa,1.6,36500000,Boyaca,Mecánica,2016
,Ford,Pereira,,5,Gasolina,67700,Ecosport 2 Titanium,,56500000,Risaralda,Automática,2016
Hatchback,BMW,Bogota,,5,Gasolina,1400,Serie 1,1.6,78900000,Cundinamarca,Automática,2016
Camioneta,Ford,Teusaquillo,Negro,5,Gasolina,49800,Escape,2.0,84000000,Bogotá D.C.,Automática,2016
Camioneta,Volkswagen,Manizales,,5,Gasolina,69000,Crossfox,1.6,46000000,Caldas,Mecánica,2016
Sedán,Mercedes-Benz,Medellín,Blanco,4,Gasolina,55000,Clase C,1.6,86000000,Antioquia,Automática,2016
Hatchback,Volkswagen,Manizales,Blanco,5,Gasolina,68600,Golf,1.6,50500000,Caldas,Mecánica,2016
Sedán,Mercedes-Benz,Medellín,,4,Gasolina,53000,Clase C,2.0,88000000,Antioquia,Automática,2016
Sedán,Chevrolet,Tunjuelito,,4,Gasolina,76000,Sail,1.4,30500000,Bogotá D.C.,Mecánica,2016
Hatchback,Mazda,Sabaneta,,5,Gasolina,69000,3,2.0,63000000,Antioquia,Mecánica,2016
Hatchback,Renault,Medellín,,5,Gasolina,56000,Sandero,1.6,39000000,Antioquia,Mecánica,2016
Camioneta,Ford,Barrios Unidos,Plateado,5,Gasolina,80000,Explorer,3.5,113000000,Bogotá D.C.,Automática,2016
Camioneta,Renault,Engativa,Blanco,5,Gasolina,203000,Duster,1.6,40000000,Bogotá D.C.,Mecánica,2016
Sedán,Hyundai,Bucaramanga,Blanco,4,Gasolina,104000,Accent,1.6,44500000,Santander,Mecánica,2016
Camioneta,Renault,Popayán,,5,Gasolina,98500,Duster,2.0,49500000,Cauca,Mecánica,2016
Camioneta,DFM/DFSK,Fontibón,Blanco,5,Gasolina,230000,V27,1.3,30000000,Bogotá D.C.,Mecánica,2016
Hatchback,Kia,Medellín,,5,Gasolina,70000,Picanto,1.2,35900000,Antioquia,Mecánica,2016
Sedán,Renault,Engativa,,4,Gasolina,90000,Logan,1.6,30900000,Bogotá D.C.,Mecánica,2016
Camioneta,Ford,Chía,,5,Gasolina,50000,Escape,2.0,73500000,Cundinamarca,Mecánica,2016
Camioneta,Ford,Zipaquirá,Gris,5,Gasolina,88000,Escape,2.0,78000000,Cundinamarca,Mecánica,2016
Hatchback,Mercedes-Benz,Cajicá,,5,Gasolina,50119,Clase A,2.0,86500000,Cundinamarca,Automática,2016
Hatchback,Renault,Engativa,Gris,5,Gasolina,58400,Sandero,1.6,33900000,Bogotá D.C.,Mecánica,2016
Hatchback,Volkswagen,Chapinero,Plateado,5,Gasolina,66000,Golf,1.6,44900000,Bogotá D.C.,Mecánica,2016
,Chevrolet,Manizales,,4,Gasolina,52000,4x2,,76000000,Caldas,Mecánica,2016
Sedán,Mazda,Medellín,Gris,4,Gasolina,52000,3,2.0,63500000,Antioquia,Automática,2016
Camioneta,Renault,Villavicencio,,5,Gasolina,66500,Duster,2.0,59000000,Meta,Mecánica,2016
Sedán,Renault,Zipaquirá,,4,Gasolina,57000,Logan,1.6,32000000,Cundinamarca,Mecánica,2016
Convertible,BMW,Pereira,Rojo,2,Gasolina,65000,M235I CABRIO,6 Lindros en linea,125000000,Risaralda,Automática,2016
Sedán,Volkswagen,Bucaramanga,,4,Gasolina,49000,Jetta,2.0,51900000,Santander,Mecánica,2016
Hatchback,Kia,Usaquén,,5,Gasolina,57000,Rio,1.2,38700000,Bogotá D.C.,Mecánica,2016
Hatchback,Renault,Chía,Gris,5,Gasolina,37000,Stepway,1.6,42900000,Cundinamarca,Mecánica,2016
Camioneta,Land Rover,Fontibón,Gris,5,Gasolina,54000,Evoque,2.0,130000000,Bogotá D.C.,Automática,2016
Sedán,Chevrolet,Usaquén,Rojo,4,Gasolina,49000,Sail,1400,31800000,Bogotá D.C.,Mecánica,2016
Convertible,Mercedes-Benz,Envigado,Blanco,2,Gasolina,23700,Clase SLK,2.0T,98000000,Antioquia,Automática,2016
Sedán,Ford,Cota,Negro,4,Gasolina,92000,Fiesta,1.6,46900000,Cundinamarca,Automática,2016
Camioneta,Ford,Envigado,,5,Gasolina,69000,Edge,3.5,93900000,Antioquia,Automática,2016
Camioneta,BMW,Usaquén,Plateado,5,Diésel,60000,X5,3.0,126000000,Bogotá D.C.,Automática,2016
Sedán,Mercedes-Benz,Chapinero,Azul,4,Gasolina,23000,Clase C,2.0,94990000,Bogotá D.C.,Automática,2016
,Ford,Suba,Rojo,5,Gasolina,40000,Fiesta,,45000000,Bogotá D.C.,Mecánica,2016
Camioneta,Ford,Cali,,5,Gasolina,63000,Escape,2.0,70000000,Valle Del Cauca,Mecánica,2016
Sedán,Ford,Fontibón,,4,Gasolina,41000,Fiesta,1.6,39700000,Bogotá D.C.,Mecánica,2016
Camioneta,Ford,Kennedy,Blanco,5,Gasolina,60000,Explorer,3.5,115000000,Bogotá D.C.,Automática,2016
Sedán,Kia,Pereira,,4,Gasolina,76000,Rio,1.4,48000000,Risaralda,Mecánica,2016
Sedán,Chevrolet,Puente Aranda,Azul,4,Gasolina,38000,Sail,1400,33990000,Bogotá D.C.,Mecánica,2016
Hatchback,Mazda,Fontibón,,5,Gasolina,87000,3,2.0,60000000,Bogotá D.C.,Mecánica,2016
Coupé,Chevrolet,Choachí,Rojo,5,Gasolina,56350,Spark GT,1206,30500000,Cundinamarca,Mecánica,2016
,Kia,Bucaramanga,,5,Gasolina,75000,Sportage,,75000000,Santander,Mecánica,2016
Camioneta,Mazda,Mosquera,Azul,5,Gasolina,44000,CX-5,2.5,94000000,Cundinamarca,Automática,2016
Camioneta,Dodge,Usaquén,,5,Gasolina,47500,Journey,2.4,57900000,Bogotá D.C.,Mecánica,2016
,Kia,Kennedy,,4,Gasolina,61000,picanto ion,,30500000,Bogotá D.C.,Mecánica,2016
Camioneta,Ford,Fontibón,Gris,5,Gasolina,52300,Escape,2.0,83900000,Bogotá D.C.,Automática,2016
Camioneta,Volkswagen,Teusaquillo,Plateado,5,Gasolina,62000,Tiguan,2.0,78500000,Bogotá D.C.,Automática,2016
Hatchback,Suzuki,Medellín,,5,Gasolina,53100,Swift,1.2,38900000,Antioquia,Mecánica,2016
,BMW,Medellín,,5,Diésel,98800,X3 Xdrive20D,,95900000,Antioquia,Automática,2016
Sedán,Nissan,Chía,Blanco,5,Gasolina,72000,Sentra,1800,49900000,Cundinamarca,Automática,2016
Sedán,Ford,Kennedy,,4,Gasolina,74000,Fiesta,1.6,41500000,Bogotá D.C.,Mecánica,2016
Camioneta,Kia,Manizales,Plateado,5,Gasolina,57000,Sportage,2.0,75000000,Caldas,Mecánica,2016
Hatchback,Renault,Teusaquillo,Rojo,5,Gasolina,70900,Stepway,1.6,42900000,Bogotá D.C.,Mecánica,2016
Camioneta,Ford,Medellín,Rojo,5,Gasolina,78000,Ecosport 2,2.0,55000000,Antioquia,Automática,2016
Hatchback,Renault,Usaquén,Gris,5,Gasolina,93000,Sandero,1.6,35000000,Bogotá D.C.,Mecánica,2016
Station Wagon,Mazda,Engativa,Gris,5,Gasolina,66000,CX-5,2.0,79000000,Bogotá D.C.,Automática,2016
Camioneta,Audi,Usaquén,Plateado,5,Gasolina,57000,Q5,2.0,92000000,Bogotá D.C.,Automática,2016
Sedán,Ford,Usaquén,Gris,4,Gasolina,93000,Fiesta,1.6,45000000,Bogotá D.C.,Mecánica,2016
Hatchback,Chevrolet,Cali,Rojo,5,Gasolina,26000,Spark GT,4 en Línea,35000000,Valle Del Cauca,Mecánica,2016
Pick-Up,Nissan,Bucaramanga,Blanco,4,Diésel,114000,Frontier,2.5,117000000,Santander,Mecánica,2016
Camioneta,Ford,Suba,,5,Gasolina,54000,Explorer,3.5,110000000,Bogotá D.C.,Automática,2016
Coupé,Mercedes-Benz,Medellín,Gris,4,Gasolina,58000,Clase CLA,1.6,80900000,Antioquia,Automática,2016
,Chevrolet,Kennedy,Rojo,5,Gasolina,48000,Spark GT,,30500000,Bogotá D.C.,Mecánica,2016
Pick-Up,Nissan,Medellín,,2,Diésel,105000,Frontier,2.5,96800000,Antioquia,Mecánica,2016
Camioneta,Renault,Fontibón,,5,Gasolina,93000,Duster,2.0,55000000,Bogotá D.C.,Mecánica,2016
,Volkswagen,Medellín,,5,Gasolina,71000,Golf,,74900000,Antioquia,Automática,2016
,Mitsubishi,Medellín,,5,Gasolina,58000,ASX,,70000000,Antioquia,Automática,2016
,Mazda,Medellín,,5,Gasolina,56000,3,,60000000,Antioquia,Automática,2016
,Hyundai,Medellín,,5,Gasolina,78000,Tucson,,75000000,Antioquia,Automática,2016
,Renault,Cali,Blanco,3,Eléctrico,93250,Kangoo,,38500000,Valle Del Cauca,Mecánica,2016
Sedán,Chevrolet,Usaquén,Negro,4,Gasolina,55759,Sonic,1.6,40900000,Bogotá D.C.,Automática,2016
Hatchback,Hyundai,Cali,Amarillo,5,Gasolina,290000,i10,1.1,63500000,Valle Del Cauca,Mecánica,2016
Camioneta,Nissan,Chapinero,Blanco,5,Gasolina,67000,Qashqai,2.0,80000000,Bogotá D.C.,Automática,2016
Camioneta,Chevrolet,Cali,Blanco,2,Diésel,66000,D-Max,,89400000,Valle Del Cauca,Mecánica,2016
Camioneta,Renault,Cali,,5,Gasolina,64000,Duster,1.6,49500000,Valle Del Cauca,Mecánica,2016
Sedán,Mazda,Cali,Plateado,4,Gasolina,75000,3,2.0,65000000,Valle Del Cauca,Automática,2016
Camioneta,Kia,Medellín,,5,Gasolina,49000,Sportage,2.0,81000000,Antioquia,Mecánica,2016
Camioneta,Honda,Pereira,,5,Gasolina,98452,CR-V,2.4,94900000,Risaralda,Mecánica,2016
Camioneta,Volkswagen,Usaquén,Plateado,5,Gasolina,65000,Crossfox,1.6,50900000,Bogotá D.C.,Mecánica,2016
Camioneta,Mercedes-Benz,Cartagena De Indias,,5,Gasolina,101000,Clase GLA,1.6,77000000,Bolívar,Automática,2016
Hatchback,Renault,Cali,Plateado,5,Gasolina,100000,Sandero,1.6,33500000,Valle Del Cauca,Mecánica,2016
,Renault,Puente Aranda,Blanco,3,Gasolina,87328,Kangoo,,39000000,Bogotá D.C.,Mecánica,2016
Camioneta,Mitsubishi,Teusaquillo,Gris,5,Gasolina,52800,Outlander,2.0,82000000,Bogotá D.C.,Automática,2016
Camioneta,Renault,Cúcuta,Gris,5,Gasolina,65000,Duster,1.6,53000000,Norte De Santander,Mecánica,2016
Hatchback,Mercedes-Benz,Cartagena De Indias,,5,Gasolina,84400,Clase A,1.6,77000000,Bolívar,Automática,2016
Sedán,Ford,Barrios Unidos,Gris,4,Gasolina,36447,Fiesta,1.6,53500000,Bogotá D.C.,Automática,2016
Sedán,Mazda,Medellín,Gris,4,Gasolina,49000,3,2.0,72000000,Antioquia,Automática,2016
Hatchback,Mazda,Medellín,Negro,5,Gasolina,64986,2,1.5,50490000,Antioquia,Mecánica,2016
Hatchback,Chevrolet,Fontibón,Negro,5,Gasolina,49904,ONIX LTZ,1.4,46900000,Bogotá D.C.,Automática,2016
,BMW,Ibagué,,5,Diésel,62000,X5,,140000000,Tolima,Automática,2016
